Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-01,759.2620239257811,759.2620239257811,759.2620239257811,759.2620239257812,0,0.0,0.0
2019-01-02,759.2620381257972,765.5111083984375,759.2620381257972,765.5111083984375,17086200,0.0,0.0
2019-01-03,765.5110242890148,771.7600938750476,759.261954702982,768.6355590820312,26738400,0.0,0.0
2019-01-04,762.3866449808903,868.620849609375,762.3866449808903,868.620849609375,258453600,0.0,0.0
2019-01-07,881.1189913303732,893.6171330513714,852.9981724581272,868.620849609375,188434700,0.0,0.0
2019-01-08,871.7453515884724,884.2434928298842,849.8736044160017,881.1189575195312,87842100,0.0,0.0
2019-01-09,890.492448704217,896.7415185196853,862.3716345346103,871.7452392578125,112359400,0.0,0.0
2019-01-10,871.745253810679,884.2433936502587,856.1225790112045,877.9943237304688,59780600,0.0,0.0
2019-01-11,877.9943237304689,887.3679286101535,871.745253810679,877.9943237304688,38608700,0.0,0.0
2019-01-14,877.9944222091783,884.2434928298842,865.4962809677666,881.1189575195312,49808900,0.0,0.0
2019-01-15,887.3680361395013,918.613389524695,877.9944301239432,912.3643188476562,114172600,0.0,0.0
2019-01-16,921.7379248632144,934.2360662172919,909.2397835091369,912.3643188476562,84230700,0.0,0.0
2019-01-17,924.8624602017337,943.60967223285,909.2397835091369,912.3643188476562,142090600,0.0,0.0
2019-01-18,924.8624641598274,934.2360702155013,921.7379288079361,927.9869995117188,86803600,0.0,0.0
2019-01-21,934.2360802475288,940.4851510184153,902.9907263930963,918.6134033203125,42644600,0.0,0.0
2019-01-22,912.3643106230608,912.3643106230608,859.2472103470607,881.1189575195312,66118800,0.0,0.0
2019-01-23,881.1189150602921,887.3679853798686,856.1226337819859,862.3717041015625,99859900,0.0,0.0
2019-01-24,865.4962392613508,877.9943799005038,862.3717041015625,862.3717041015625,55564000,0.0,0.0
2019-01-25,862.3716345346103,881.1188439810148,862.3716345346103,871.7452392578125,59077400,0.0,0.0
2019-01-28,874.8699204698742,893.6171330513714,862.371778748876,868.620849609375,97669800,0.0,0.0
2019-01-29,868.6208423215951,868.6208423215951,834.2509528772155,837.37548828125,76464700,0.0,0.0
2019-01-30,837.3754412615741,859.2471878616898,837.3754412615741,843.62451171875,56906800,0.0,0.0
2019-01-31,852.9981724581272,884.2435267606228,849.8736370278777,868.620849609375,109294400,0.0,0.0
2019-02-01,871.7452714399858,874.8698064630682,852.9980613014915,859.2471313476562,45433300,0.0,0.0
2019-02-04,856.1226667516372,862.3717373118681,846.7490609112908,849.8735961914062,41270100,0.0,0.0
2019-02-05,849.8735961914062,849.8735961914062,849.8735961914062,849.8735961914062,0,0.0,0.0
2019-02-06,856.1225818452381,862.3716517857143,846.7489769345239,852.998046875,36227000,0.0,0.0
2019-02-07,859.2472118959108,862.3717472118959,834.2509293680298,840.5,45892300,0.0,0.0
2019-02-08,831.1263998331237,831.1263998331237,815.5037231445312,815.5037231445312,65555100,0.0,0.0
