Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-09-02,567.5648803710938,567.5648803710938,548.3253929008872,567.5648803710938,74282400,0.0,0.0
2019-09-03,586.8043548351026,683.0017900539718,567.5648677913288,630.0932006835938,92037500,0.0,0.0
2019-09-04,630.0931786070479,687.8116377160904,620.4734354222074,678.19189453125,63289600,0.0,0.0
2019-09-05,683.0017776489258,711.8610076904297,673.3820343017578,692.6215209960938,40137300,0.0,0.0
2019-09-06,692.6214380058453,697.4313091031081,663.7622114222684,668.5720825195312,35909000,0.0,0.0
2019-09-09,673.381953616794,683.0016958113197,668.5720825195312,668.5720825195312,26896400,0.0,0.0
2019-09-10,654.1425327845982,678.1918906075614,620.4734318324497,673.3820190429688,34622700,0.0,0.0
2019-09-11,673.381953616794,687.8115669085824,663.7622114222684,668.5720825195312,22152200,0.0,0.0
2019-09-12,668.5722010515738,673.3820730015851,654.1425852015399,663.7623291015625,31385700,0.0,0.0
2019-09-13,663.7622599882238,673.3820028866038,654.1425170898438,654.1425170898438,32061200,0.0,0.0
2019-09-16,654.1425435223917,658.9524151659388,610.8536987304688,610.8536987304688,38812200,0.0,0.0
2019-09-17,610.8536987304688,620.4734420175628,601.2339554433747,610.8536987304688,22781900,0.0,0.0
2019-09-18,610.853702545166,625.283317565918,610.853702545166,615.66357421875,31215000,0.0,0.0
2019-09-19,615.6635817307692,625.2833251953125,615.6635817307692,625.2833251953125,33121600,0.0,0.0
2019-09-20,630.093151946566,654.1425088910914,625.2832805576609,644.5227661132812,32007400,0.0,0.0
2019-09-23,644.5228042602539,649.3326759338379,610.853702545166,615.66357421875,33101700,0.0,0.0
2019-09-24,615.66357421875,625.283317565918,601.233959197998,615.66357421875,32590800,0.0,0.0
2019-09-25,615.6635703740158,615.6635703740158,606.0438270869217,610.8536987304688,32572400,0.0,0.0
2019-09-26,610.853702545166,625.283317565918,606.043830871582,615.66357421875,34000500,0.0,0.0
2019-09-27,610.8536987304688,615.6635703740158,606.0438270869217,610.8536987304688,31074200,0.0,0.0
2019-09-30,610.8536987304688,620.4734420175628,606.0438270869217,610.8536987304688,33185300,0.0,0.0
2019-10-01,610.8536948552207,615.663566468254,606.0438232421875,606.0438232421875,32792900,0.0,0.0
2019-10-02,606.0438072329662,610.8536787189421,577.1845783171107,586.8043212890625,37878700,0.0,0.0
2019-10-03,581.9945068359375,586.8043787932593,577.1846348786157,581.9945068359375,19144800,0.0,0.0
2019-10-04,581.9943801879883,586.8042510986328,577.1845092773438,577.1845092773438,22245200,0.0,0.0
2019-10-07,581.9945068359375,581.9945068359375,577.1846348786157,581.9945068359375,17674500,0.0,0.0
2019-10-08,581.9943801879883,586.8042510986328,577.1845092773438,577.1845092773438,17876000,0.0,0.0
2019-10-09,581.9943801879883,581.9943801879883,577.1845092773438,577.1845092773438,16624600,0.0,0.0
2019-10-10,581.9944375943736,581.9944375943736,572.3746948242188,572.3746948242188,18469500,0.0,0.0
2019-10-11,577.1845092773438,581.9943801879883,572.3746383666993,577.1845092773438,18791300,0.0,0.0
2019-10-14,577.1845092773438,581.9943801879883,572.3746383666993,577.1845092773438,17953900,0.0,0.0
2019-10-15,577.1845092773438,581.9943801879883,572.3746383666993,577.1845092773438,18205600,0.0,0.0
