Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-01,1148.658203125,1148.658203125,1148.658203125,1148.658203125,0,0.0,0.0
2019-01-02,1145.0346045556007,1163.1522407036323,1112.4228594891438,1116.04638671875,5203600,0.0,0.0
2019-01-03,1116.046493630004,1145.0347142437704,1101.552383323121,1108.7994384765625,9381900,0.0,0.0
2019-01-04,1108.7992881585744,1318.9638591167356,1087.0581256456612,1315.34033203125,59461000,0.0,0.0
2019-01-07,1333.4580578926282,1427.6697685046074,1333.4580578926282,1413.1756591796875,53798000,0.0,0.0
2019-01-08,1420.422806023316,1427.6698611560882,1347.952254695596,1398.681640625,26923500,0.0,0.0
2019-01-09,1405.9286200075733,1463.90505794603,1387.8109831518057,1420.4227294921875,41086600,0.0,0.0
2019-01-10,1427.6699144203246,1463.905191436069,1416.7993313156012,1424.04638671875,15006700,0.0,0.0
2019-01-11,1442.1639094473746,1442.1639094473746,1413.1756901620004,1427.6697998046875,11654000,0.0,0.0
2019-01-14,1424.0463258421266,1434.9169084821428,1395.05810546875,1395.05810546875,7795400,0.0,0.0
2019-01-15,1398.6816021776574,1416.799239511565,1358.822800043061,1380.56396484375,24227600,0.0,0.0
2019-01-16,1391.4345930232557,1463.905144743217,1384.1875378512598,1402.30517578125,45855400,0.0,0.0
2019-01-17,1427.669859963741,1550.8697971179724,1427.669859963741,1514.634521484375,90960500,0.0,0.0
2019-01-18,1529.1286458706638,1601.599197807662,1529.1286458706638,1579.8580322265625,44812200,0.0,0.0
2019-01-21,1601.599246029563,1630.5874676771566,1521.8816364986797,1543.622802734375,34110000,0.0,0.0
2019-01-22,1536.3757502858232,1550.8698611375762,1471.1522514529345,1485.6463623046875,22258400,0.0,0.0
2019-01-23,1449.4109959993962,1543.622710739357,1449.4109959993962,1500.140380859375,21940400,0.0,0.0
2019-01-24,1521.8816086341594,1529.1286639133696,1471.1522216796875,1471.1522216796875,12374200,0.0,0.0
2019-01-25,1478.3992769588976,1500.1404427965285,1463.9051664004771,1471.1522216796875,9866400,0.0,0.0
